,product_name_list,price_lst
108,بيبسي دايت علبة 330 مل,2.5
109,سنبلة سبرينق رول 345 جرام,6.75
110,بون ماما مربى الفواكه الأربعة 370 جم,17.95
111,حدائق كاليفورنيا فول مقشور مع فلفل حار 4...,4.95
112,الهدا مياه 125 مل - 72 حبة,21.25
113,"نخلتين زيت نباتي 1,8 لتر قطعتين",28.25
114,سفن اب مشروب غازي 330 مل,2.5
115,كيلوجز كورن فليكس 750 جم,23.95
116,ام اند امز مينيز شوكولاته انابيب 30.6 جر...,3.25
117,امريكانا برجر الدجاج 12 قطع 678 جرام,19.75
118,لانجنيز عسل طبيعي 125 جم,12.25
119,سنبلة سبرينق رول بالبيض 160 جرام,3.95
120,ليبيز شرائح فطر 184 جم,5.95
121,اسناد البهارات السبعة 200 جرام,15.5
122,فودي جبنة قشقوان من حليب البقر الصافي 35...,21.95
123,امريكانا برجر لحم بالبهارات العربية 1.2 ...,35.9
124,كرفت جبنة بيضاء قابلة للدهن 490 جرام,16.25
125,كوبوليفا زيتون اخضر شرائح 114 جرام,5.0
126,راني عصير فواكه مشكلة 200 مل,1.0
127,فانتا فراولة قارورة 250 مل,2.5
128,المراعي صفيحة جبن 200 جرام,7.5
129,ويت وورث سكر 500 جرام,16.95
130,ترولي حلاوة جيلي بيتزا 22 جرام 4 حبة,5.0
131,كي دي دي عصير برتقال 180 مل - 24 حبة,25.5
132,كارفور شرائح جبنة راكليتي 400 جم,39.95
133,ليندت شوكولاتة بالحليب 100 جرام,12.95
134,فراولة  مستورد - علبة 500 جرام,27.95
135,حلواني معمول قمح بالتمر 480 جرام,12.75
136,فرشلى مانجو شرائح بالشراب 425 جرام,4.75
137,ميرندا مشروب غازي بالفراولة 330 مل,2.5
138,كارفور قهوة كلاسيك 250 غ,9.95
139,ليندت شوكلاته 100 جرام,15.75
140,المراعي لبن قليل الدسم 2 لتر,8.0
141,نادك حليب بالفراولة 200 مل,1.5
142,سفن اب مشروب غازي علبة 150 × 30 مل,44.95
143,بنجابي المهيدب أرز بسمتي أبيض 10  كيلوجر...,81.25
144,فيلادلفيا لايت جبنة قابلة للدهن 300 جرام,15.95
145,حلواني اخوان سكر 5 كيلو,17.25
146,قساطلي شراب تمر هندي 600 مل,19.95
147,المراعي حليب مبخر 170 جرام,2.1
148,هولستن شراب شعير 330 مل,4.5
149,بوك لبنة 650 جرام,21.5
150,ماكفيتيز بسكويت دايجستف لايت 250 جرام,9.5
151,مكاتي حليب جوز الهند 165 مل,2.75
152,نادك حليب كامل دسم طويل الأجل 1 لتر,4.5
153,المراعي لبنة كاملة الدسم 200 جرام,5.0
154,هرفي معمول بالتمر 288 جرام,7.75
155,راني عصير مانجو 200 مل,1.0
156,بيبسي دايت علبة 330 مل × 24,57.95
157,البقرات الثلاث جبنة فيتا قليلة الدسم 200...,7.5
158,قودي شطة حارة 88 مل,1.5
159,نخلتين زيت نباتي 1.8 لتر,13.95
160,المراعي لبن زبادي كامل الدسم 2 كيلو,13.1
161,ستورك كافيار أسود 50 جرام,23.5
162,ماما سيتا بهارات كالديريتا 50 جم,3.95
163,نادك حليب خالي الدسم طويل الأجل 1 لتر- 1...,55.1
164,(سمك السلمون الطازج ستيك النرويج (للكيلو,79.95
165,الكبير خبز براتا ساده 400 جرام,5.75
166,دوريتوس رقائق الذرة بجبنة الناتشو 23 جرا...,12.25
167,إن ون كاجو 500 جرام,40.5
168,يمامة ماء ورد 750 مل,11.75
169,فوستر كلارك مستخلص البرتقال 28 مل,2.75
170,جوزيان سردين مطبوخ بزيت الصويا 125 جرام,4.5
171,بانزاني شعيرية 500 جرام,5.0
172,فرشلي تتبيلة سلطة رانش 473 جرام,12.95
173,فرشلي صلصة للتتبيل 335 مل,10.95
174,خبز فرنسي 400 جرام,3.5
175,مهران شات مسالا 50 جرام,4.75
176,ام اند امز بالفول السوداني 45 جرام,3.5
177,امريكانا برجر لحم بالبهارات العربية 448 ...,16.15
178,ايسترن بهارات سمك 165 جرام,7.25
179,بورقات حلاوة جيلي كولا 100 جرام,4.5
180,بيستو حبيبات مرقة البصل 170 جم,9.95
181,ديمة معمول محشو بالتمر 16 جرام - 16 حبة,6.75
182,البقرة الضاحكة جبنة مثلثات 240 جرام,6.95
183,تانج شراب مانجو 2.5  كيلوجرام,36.95
184,الربيع حليب صويا بالفانيلا 1 لتر,10.0
185,ليز بطاطس بالخل و الملح دبلكس 23 جرام  -...,12.5
186,لورباك زبدة مملحة 200 جرام,10.0
187,بربيكان بيرة تفاح 330 مل - 6 حبات,28.0
188,ليز بطاطس بالجبنة 23 جرام × 14 حبة,12.5
189,عافية زيت دوار الشمس 3.5 لتر,21.25
190,كيري جبنة مربعات 648 جرام 3 حبات,21.95
191,رويال برجر دجاج 20 قطع 1 كيلو,21.5
192,تويكس شوكولاتة قطع صغيرة 275 جرام,16.75
193,ميموريز بسكويت التمر 120 جرام,2.95
194,بيرفيتو مكرونة لازانيا 500 جرام,11.5
195,نادك حليب كامل الدسم 1.75 لتر,6.0
196,كادبوري ديري ميلك شوكولاتة  37 جرام  12 ...,31.5
197,بريزدنت جبنة شرائح للساندويش 400 جرام,15.95
198,جالكسي جواهر شوكولاتة مشكلة 900 جرام,65.75
199,إن ون فاصوليا بيضاء 1 كجم,9.95
200,"اليوم دجاج فاخر طازج 1,2 كيلو",19.95
201,هاينز مايونيز 220 جرام,8.95
202,بيبي صدر ديك رومي مدخن قليلة الدسم (للكي...,62.95
203,بارني كيك اسفنجي بالحليب 30  جرام,2.0
204,كارفور بيض متوسط 20 قطع,36.95
205,السنبلة حلى ام علي 150 جرام,10.5
206,آيل اوف مان جبنة تشيدر قديمة 200 جرام,24.9
207,مستر كريسبس كرات الجبن 80 جم,8.5
208,ديمه بسكويت بالتين 63 جرام,1.5
209,خبز صامولي أبيض 8 حبات,1.0
210,مكاتي صلصة المحار 400 مل,7.95
211,يمامة ماء زهر البرتقال 750 مل,11.75
212,ساديا برجر الدجاج 1.34 كج,37.95
213,جونيور كروسون صغير 32 جرام + 1 مجانا,10.95
214,بوك جبنة موزاريلا مبشورة 1 كيلو,35.5
215,بريزيدن جبنة مثلثات 480 جرام,14.75
216,ستورك كافيار أسود 100 جرام,33.5
217,كارفور بايو شوكولاتة داكنة 74% 100 جرام,11.5
218,الواحة عصير فواكة مشكل 250 مل × 27,13.75
219,عافية زيت الذرة 3.5 لتر,45.45
220,كاندريل محلي 8.5 جرام,12.75
221,برايد موزاريلا مبشورة 1 كيلو,50.95
222,الكبير لب الجوافة مجمد 1 كيلو جرام,8.95
223,سنبلة بف باستري مربعات قليلة الدسم 400 ج...,6.75
224,"أنكور حليب بودره كيس كامل الدسم 2,5 كيلو",79.95
225,السنبلة فول أخضر 450 جرام,10.75
226,كابري سن شراب فراولة 200 مل - 10 حبة,8.9
227,بريزيدن جبنة شرائح لايت 200 جرام,10.95
228,فاصوليا خضراء - صحن 400 جرام,12.95
229,هولستن بيرة 330 مل,5.75
230,ماكين بطاطس 2.5 كيلو جرام,26.75
231,أركور توفي بالحليب 454  جرام,21.95
232,مافن متنوع 420 جرام × 6 حبات,10.0
233,فريشلي زبدة الفول السوداني ناعمة 340 غ,10.95
234,بالسين بسكويت بالزبدة 200  جرام,7.5
235,كارفور مكرونة (سباغيت) 400 جرام,2.95
236,فريكو شرائح جبنة متوسطة 150 جرام,14.95
237,راني عصير أناناس بالحبيبات 240 مل,1.75
238,الأسره سكر ناعم أكياس 5 كيلو,16.5
239,فيلادلفيا جبنة قابلة للدهن قليلة الدسم 2...,12.95
240,روفليه دو فرانس مكرونة العش الصغير بالبي...,8.95
241,كي دي دي قشطة قيمر 125 جم - 4 حبة,10.5
242,نادك زبادي خالي الدسم 170 جرام,1.0
243,الربيع عصير تفاح 330 مل,2.0
244,لواكر ويفر بالحليب 175 جرام,12.95
245,الربيع عصير برتقال 200 مل,16.5
246,وينرتش شوكولاته بالحليب بحشوة الموز 100 ...,7.25
247,نادك حلى الشوكولاتة الطازجة 75 جرام,1.0
248,سفن اب  مشروب غازي 150 مل,1.8
249,الكبير نقانق لحم بقري مجمد 454 جرام 12 ق...,13.95
250,فوستر كلارك شراب مانجو 2.5 كغ,34.95
251,كابري سن كوكتيل فواكه 200 مل - 10 حبة,8.9
252,سويت آن لو 5.2 جرام 100 حبة,12.5
253,بون ماما مربى المشمش 370 جم,17.95
254,الكبير سمبوسة لحم غنم 240  جرام,11.5
255,لواكر ويفر بكريمة البندق 45 جرام,3.0
256,سمك السلمون الطازج فيليه النرويج (للكيلو...,89.95
257,فرشلي فطر شرائح 390 غ,7.5
258,حدائق كاليفورنيا فول بخلطة اللبنانية 450...,4.95
259,فوستر كلارك جيلاتين كرز 85 جرام,2.0
260,خبز فلبيني 10 حبات,3.0
261,كي دي دي معجون طماطم 135 جم,1.4
262,بيبسي 2.25 لتر,8.0
263,فرشلي خل ابيض طبيعي جالون,17.5
264,رويال كريم كراميل 77 جرام,2.5
265,لواكر ويفر بالحليب 45 جرام,3.0
